;en;es
TUTORIAL_2_DIALOGUE_1;"The AI copilot neural network is too expensive and you have almost no fuel.
It is better to use manual instructions.";"La red neuronal del copiloto es muy costosa y casi no te queda combustible.
Será mejor usar las instrucciones manuales."
TUTORIAL_2_DIALOGUE_2;Now we are going to show you how to use our code instructions.;Ahora te mostraremos cómo usar nuestras instrucciones de código.
TUTORIAL_2_DIALOGUE_3;"The panel will notify you when an instruction is ready and you can keep with the next one.
Complete the instructions to fulfil your mission.
We are counting on you.
";"El panel indicará cuando una instrucción o línea está lista y puedes avanzar con la siguiente.
Completa las instrucciones para ganar."
TUTORIAL_2_DIALOGUE_4;Press the SPACE button to initialize the instructions. When you complete the instruction of each line, press SPACE to go to the next one.;Presiona el botón ESPACIO para inicializar las instrucciones. Cuando completas la instrucción de cada línea, presiona ESPACIO para ir a la siguiente.
TUTORIAL_2_DIALOGUE_5;Congratulations! Now you know how to follow our instructions;Felicitaciones! Ahora sabes cómo seguir nuestras instrucciones.
TUTORIAL_2_DIALOGUE_6;You are almost ready to save the red pandas in other galaxies!;Pronto podrás salvar pandas rojos en otras galaxias!
TUTORIAL_3_DIALOGUE_0;"You are doing very well!
The next galaxy will be the hard one, so I need you to be ready.";"¡Vas muy bien!
La próxima galaxia será difícil, así que prepárate."
TUTORIAL_3_DIALOGUE_1;"You need to use Stacks and Queues.
Both are like Lists. They can contain nodes.";"Necesitas usar Pilas (Stacks) y Colas (Queues).
Ambas funcionan como listas. Pueden contener nodos."
TUTORIAL_3_DIALOGUE_2;"This is a stack. You put two nodes: A and B in that order.
You pop one node out. This will be B, because the last that came in, is the first to come out. Last In, First Out.";"Esta es una pila (Stack). Imagina que colocas 2 nodos: A y B en ese mismo orden.
Si sacas un elemento, este será B. El último en llegar es el primero en irse.
Primero en llegar, último en irse (Last In, First Out or LIFO)"
TUTORIAL_3_DIALOGUE_3;"This is a queue. You put two nodes:  A and B in that order.
You pop one node out. This will be A, because the first that came in, is the first to come out. First In, First Out.";"Esta es una cola (Queue). Imagina que colocas 2 nodos: A y B en ese mismo orden.
Si sacas un elemento, este será A. El primero en llegar es el primero en irse.
Primero en llegar, primero en irse (First In, First Out or FIFO)"
TUTORIAL_3_DIALOGUE_4;"I will show you the variable selector and the selected variable panel.
These panels allow you to manipulate variables.";"Te mostraré el selector de variables y el panel de la variable seleccionada.
Estos paneles te permiten manipular variables. "
TUTORIAL_3_DIALOGUE_5;"I will explain you more when you need it!
Good luck!";"Te explicaré más cuando lo necesites!
Buena suerte!"
TUTORIAL_3_DIALOGUE_6;Congratulations! Now you know how to use the variables and add nodes to a Stack;¡Felicidades! Ahora sabes cómo usar variables y agregar nodos a la pila (Stack)
TUTORIAL_3_DIALOGUE_7;Save these sad pandas please! THEY NEED YOU!;Por favor, salva a estos pandas tristes. TE NECESITAN! uwu
TUTORIAL_3_HINT_1;"Press W and S to change the current selected variable.
Select the stack S by checking that the line ""S: stack()"" is green and moving.
After selecting the stack S, hover the mouse on the planet 0 and press r/R.
The selected variable will be shown on the bottom right panel. Check it after pressing r/R!";"Presiona W y S para cambiar la variable seleccionada.
Selecciona la pila (Stack) S. la línea ""S: stack()"" se pondá verse y se moverá.
Después de seleccionar la pila (Stack) S, posiciona el mouse sobre el planeta 0 y presiona r/R.
La variable seleccionada se mostrará en el panel de la esquina inferior derecha. ¡Fíjate en ella después de presionar r/R!"
SELECTED_VARIABLE;SELECTED VARIABLE;VARIABLE SELECCIONADA
E: Select/Unselect;E: Select/Unselect;E: Seleccionar/Deseleccionar
R: Add to selected object;R: Add to selected object;R: Agregar al objeto seleccionado
IS_U_A_STAR?;Is the U node a star?;Es el nodo U una estrella?
BFS_WIN_MESSAGE;"Congratulations! You have successfully finished the BFS Level!
Go and finish the next level!";"¡Felicidades! Completaste el nivel de BFS (Breadth First Search / Búsqueda en achura)
¡Ve al siguiente nivel!"
DFS_WIN_MESSAGE;"Congratulations! You have successfully finished the DFS Level!
Go and finish the next level!";"¡Felicidades! Completaste el nivel de DFS (Depth First Search / Búsqueda en profundidad)
¡Ve al siguiente nivel!"
Next Level;Next Level;Siguiente nivel
Reset Level;Reset Level;Reiniciar nivel
